stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id,clean_stop_id
2578179,66498040,"Maastricht, Molensingel/Graanmolen",50.829902,5.712163,0,stoparea:418490,,0.0,,,2578179
2578180,66498050,"Maastricht, Molensingel/Graanmolen",50.829948,5.712035,0,stoparea:418490,,0.0,,,2578180
2578181,66498060,"Maastricht, Molensingel/Malvabeemd",50.823969,5.712334,0,stoparea:418480,,0.0,,,2578181
2578182,66498061,"Maastricht, Molensingel/Malvabeemd",50.82493,5.712795,0,stoparea:418480,,1.0,,,2578182
2578183,66498070,"Maastricht, Schorsmolen",50.815564,5.709267,0,stoparea:418528,,1.0,,,2578183
2578184,66498090,"Maastricht, Schorsmolen",50.816122,5.709229,0,stoparea:418528,,1.0,,,2578184
2578210,66500470,"Maastricht, Franciscus Romanusweg",50.857274,5.698977,0,stoparea:418518,,0.0,,,2578210
2578211,66500480,"Maastricht, Franciscus Romanusweg",50.856321,5.699013,0,stoparea:418518,,0.0,,,2578211
2578212,66500490,"Maastricht, Balijeweg/Ankerkade",50.869089,5.700974,0,stoparea:418396,,0.0,,,2578212
2578213,66500500,"Maastricht, Balijeweg/Ankerkade",50.86916,5.701046,0,stoparea:418396,,0.0,,,2578213
2578214,66500510,"Maastricht, Gravenstraat",50.860872,5.729608,0,stoparea:418452,,0.0,,,2578214
2578215,66500520,"Maastricht, Gravenstraat",50.860711,5.729507,0,stoparea:418452,,1.0,,,2578215
2578216,66500530,"Maastricht, Kasteel Erensteinstraat",50.863445,5.716787,0,stoparea:418464,,0.0,,,2578216
2578217,66500550,"Maastricht, Kemenadeplein",50.863887,5.712813,0,stoparea:418465,,1.0,,,2578217
2578247,66501530,"Maastricht, Kemenadeplein",50.86256,5.711654,0,stoparea:418465,,0.0,,,2578247
2578218,66500560,"Maastricht, Koning Clovisstraat",50.851548,5.718364,0,stoparea:418471,,1.0,,,2578218
2578220,66500581,"Maastricht, Lindenplein",50.866638,5.734395,0,stoparea:418478,,1.0,,,2578220
2578219,66500580,"Maastricht, Lindenplein",50.866638,5.734395,0,stoparea:418478,,1.0,,,2578219
2578221,66500630,"Maastricht, Meerssenerweg/Miradorplein",50.86596,5.714305,0,stoparea:418489,,0.0,,,2578221
2578248,66501660,"Maastricht, Miradorplein",50.865558,5.716433,0,stoparea:418488,,1.0,,,2578248
2578222,66500660,"Maastricht, Miradorplein",50.865558,5.716433,0,stoparea:418488,,1.0,,,2578222
2578223,66500670,"Maastricht, Meerssenerweg/Mosa",50.858416,5.708514,0,stoparea:418484,,0.0,,,2578223
2578224,66500680,"Maastricht, Meerssenerweg/Mosa",50.857573,5.707784,0,stoparea:418484,,0.0,,,2578224
