route_id,service_id,trip_id,realtime_trip_id,trip_headsign,trip_short_name,trip_long_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
90821,3285,178416547,ARR:26057:1110,Maastricht,1110,,0,,1130129.0,0,
90821,3285,178416566,ARR:26057:1045,Gulpen,1045,,1,,1130131.0,0,
90821,3285,178416479,ARR:26057:1105,Gulpen,1105,,1,,1130131.0,0,
90837,3285,178417219,ARR:26350:1046,Maastricht,1046,Limburgliner,0,,1131287.0,0,
90837,3285,178417396,ARR:26350:1194,Maastricht,1194,Limburgliner,0,,1131287.0,0,
90793,3285,178415264,ARR:26009:1042,Maastricht,1042,,0,,1129956.0,0,
90798,3285,178415616,ARR:26015:1133,Eijsden,1133,,1,,1129983.0,0,
90795,3285,178415407,ARR:26011:1041,Maastricht Kon Emmaplein,1041,,1,,1129975.0,0,
90821,3285,178416563,ARR:26057:1038,Maastricht,1038,,0,,1130129.0,0,
90796,3285,178415327,ARR:26012:1017,Villapark,1017,,1,,1129976.0,0,
90796,3285,178415464,ARR:26012:1090,Boschpoort,1090,,0,,1129977.0,0,
90796,3285,178415429,ARR:26012:1021,Villapark,1021,,1,,1129976.0,0,
90792,3285,178415165,ARR:26008:1062,Maastricht Boschpoort,1062,,0,,1129949.0,0,
90792,3285,178415193,ARR:26008:1002,Maastricht Boschpoort,1002,,0,,1129949.0,0,
90792,3285,178415197,ARR:26008:1013,Valkenburg,1013,,1,,1129953.0,0,
90792,3285,178415209,ARR:26008:1042,Maastricht Boschpoort,1042,,0,,1129949.0,0,
90793,3285,178415227,ARR:26009:1097,Bunde,1097,,1,,1129955.0,0,
90793,3285,178415238,ARR:26009:1114,Maastricht,1114,,0,,1129956.0,0,
90796,3285,178415453,ARR:26012:1061,Villapark,1061,,1,,1129976.0,0,
90796,3285,178415434,ARR:26012:1013,Villapark,1013,,1,,1129976.0,0,
90797,3285,178415470,ARR:26013:1006,Maastricht Station,1006,,0,,1129980.0,0,
90797,3285,178415467,ARR:26013:1001,Kanne,1001,,1,,1129981.0,0,
90797,3285,178415527,ARR:26013:1025,Kanne,1025,,1,,1129981.0,0,
90797,3285,178415528,ARR:26013:1026,Maastricht Station,1026,,0,,1129980.0,0,
90797,3285,178415491,ARR:26013:1030,Maastricht Station,1030,,0,,1129980.0,0,
90797,3285,178415499,ARR:26013:1054,Maastricht Station,1054,,0,,1129980.0,0,
90792,3285,178415198,ARR:26008:1014,Maastricht Boschpoort,1014,,0,,1129949.0,0,
90793,3285,178415253,ARR:26009:1105,Bunde,1105,,1,,1129955.0,0,
90796,3285,178415326,ARR:26012:1005,Villapark,1005,,1,,1129976.0,0,
90798,3285,178415535,ARR:26015:1102,Daalhof,1102,,0,,1129985.0,0,
90798,3285,178415520,ARR:26015:1046,Daalhof,1046,,0,,1129985.0,0,
90798,3285,178415519,ARR:26015:1045,Eijsden,1045,,1,,1129984.0,0,
90786,3285,178414705,ARR:26002:1010,Oud Caberg,1010,,0,,1129891.0,0,
90786,3285,178414702,ARR:26002:1001,De Heeg,1001,,1,,1129890.0,0,
90786,3285,178414725,ARR:26002:1082,Oud Caberg,1082,,0,,1129891.0,0,
90785,3285,178414676,ARR:26001:1105,De Heeg,1105,,1,,1129874.0,0,
90789,3285,178414935,ARR:26005:1094,Daalhof,1094,,0,,1129923.0,0,
90789,3285,178414961,ARR:26005:1013,Heugem,1013,,1,,1129924.0,0,
90789,3285,178414953,ARR:26005:1061,Heugem,1061,,1,,1129924.0,0,
90790,3285,178415135,ARR:26006:1238,Maastricht Station,1238,,0,,1129935.0,0,
90789,3285,178414892,ARR:26005:1070,Daalhof,1070,,0,,1129923.0,0,
90789,3285,178414893,ARR:26005:1073,Heugem,1073,,1,,1129924.0,0,
90790,3285,178415027,ARR:26006:1190,Daalhof,1190,,0,,1129933.0,0,
90790,3285,178415023,ARR:26006:1065,Amby,1065,,1,,1129931.0,0,
90789,3285,178414947,ARR:26005:1114,Daalhof,1114,,0,,1129923.0,0,
90785,3285,178414691,ARR:26001:1090,Malberg,1090,,0,,1129875.0,0,
90785,3285,178414605,ARR:26001:1002,Maastricht Station,1002,,0,,1129873.0,0,
90785,3285,178414680,ARR:26001:1078,Malberg,1078,,0,,1129875.0,0,
90785,3285,178414623,ARR:26001:1030,Malberg,1030,,0,,1129875.0,0,
90786,3285,178414728,ARR:26002:1093,De Heeg,1093,,1,,1129889.0,0,
90786,3285,178414769,ARR:26002:1078,Oud Caberg,1078,,0,,1129891.0,0,
90785,3285,178414701,ARR:26001:1130,Maastricht Station,1130,,0,,1129873.0,0,
90790,3285,178414999,ARR:26006:1001,Amby,1001,,1,,1129931.0,0,
90798,3285,178415523,ARR:26015:1053,Eijsden,1053,,1,,1129984.0,0,
90790,3285,178415072,ARR:26006:1182,Daalhof,1182,,0,,1129933.0,0,
90786,3285,178414706,ARR:26002:1017,De Heeg,1017,,1,,1129889.0,0,
90786,3285,178414768,ARR:26002:1077,De Heeg,1077,,1,,1129889.0,0,
90786,3285,178414793,ARR:26002:1126,Oud Caberg,1126,,0,,1129892.0,0,
90786,3285,178414772,ARR:26002:1086,Oud Caberg,1086,,0,,1129891.0,0,
90790,3285,178415144,ARR:26006:1258,Daalhof,1258,,0,,1129937.0,0,
90789,3285,178414957,ARR:26005:1065,Heugem,1065,,1,,1129924.0,0,
90789,3285,178414879,ARR:26005:1122,Daalhof,1122,,0,,1129923.0,0,
90798,3285,178415583,ARR:26015:1089,Eijsden,1089,,1,,1129984.0,0,
90790,3285,178415149,ARR:26006:1278,Maastricht Station,1278,,0,,1129935.0,0,
90790,3285,178415021,ARR:26006:1073,Amby,1073,,1,,1129931.0,0,
90790,3285,178415055,ARR:26006:1286,Daalhof,1286,,0,,1129937.0,0,
90798,3285,178415436,ARR:26015:1061,Eijsden,1061,,1,,1129984.0,0,
90790,3285,178415111,ARR:26006:1142,Daalhof,1142,,0,,1129933.0,0,
90790,3285,178415039,ARR:26006:1137,Amby,1137,,1,,1129931.0,0,
90790,3285,178415013,ARR:26006:1038,Daalhof,1038,,0,,1129933.0,0,
90798,3285,178415590,ARR:26015:1098,Daalhof,1098,,0,,1129985.0,0,
90790,3285,178414945,ARR:26006:1102,Daalhof,1102,,0,,1129933.0,0,
90790,3285,178415029,ARR:26006:1089,Amby,1089,,1,,1129931.0,0,
90798,3285,178415589,ARR:26015:1097,Eijsden,1097,,1,,1129984.0,0,
90790,3285,178415041,ARR:26006:1206,Maastricht Station,1206,,0,,1129935.0,0,
90785,3285,178414683,ARR:26001:1058,Malberg,1058,,0,,1129875.0,0,
90785,3285,178414622,ARR:26001:1029,De Heeg,1029,,1,,1129876.0,0,
90786,3285,178414734,ARR:26002:1117,De Heeg,1117,,1,,1129890.0,0,
90785,3285,178414621,ARR:26001:1026,Malberg,1026,,0,,1129875.0,0,
90789,3285,178414948,ARR:26005:1117,Heugem,1117,,1,,1129924.0,0,
90790,3285,178415022,ARR:26006:1062,Daalhof,1062,,0,,1129933.0,0,
90788,3285,178414881,ARR:26004:1134,Pottenberg - Caberg,1134,,0,,1129905.0,0,
90788,3285,178414860,ARR:26004:1086,Maastricht,1086,,0,,1129903.0,0,
90788,3285,178414864,ARR:26004:1114,Maastricht,1114,,0,,1129903.0,0,
90788,3285,178414900,ARR:26004:1046,Maastricht,1046,,0,,1129903.0,0,
90788,3285,178414854,ARR:26004:1049,Valkenburg Station,1049,,1,,1129914.0,0,
90788,3285,178414911,ARR:26004:1073,Valkenburg Station,1073,,1,,1129914.0,0,
90788,3285,178414925,ARR:26004:1105,Maastricht Station,1105,,1,,1129909.0,0,
90788,3285,178414896,ARR:26004:1041,Valkenburg Station,1041,,1,,1129914.0,0,
90788,3285,178414754,ARR:26004:1006,Maastricht,1006,,0,,1129903.0,0,
90820,3285,178416434,ARR:26056:1045,Brunssum,1045,,1,,1130125.0,0,
90820,3285,178416446,ARR:26056:1077,Brunssum,1077,,1,,1130125.0,0,
90788,3285,178414889,ARR:26004:1026,Maastricht,1026,,0,,1129903.0,0,
90788,3285,178414855,ARR:26004:1050,Maastricht,1050,,0,,1129903.0,0,
90794,3285,178415418,ARR:26010:1173,Heer,1173,,1,,1129968.0,0,
90794,3285,178415275,ARR:26010:1193,Randwyck,1193,,1,,1129966.0,0,
90794,3285,178415298,ARR:26010:1077,Heer,1077,,1,,1129968.0,0,
90791,3285,178415180,ARR:26007:1101,Caberg - Pottenberg,1101,,1,,1129939.0,0,
90791,3285,178415054,ARR:26007:1053,Caberg - Pottenberg,1053,,1,,1129939.0,0,
90794,3285,178415423,ARR:26010:1177,Randwyck,1177,,1,,1129966.0,0,
90791,3285,178415114,ARR:26007:1033,Caberg - Pottenberg,1033,,1,,1129939.0,0,
90791,3285,178415169,ARR:26007:1073,Caberg - Pottenberg,1073,,1,,1129939.0,0,
90794,3285,178415350,ARR:26010:1222,P+R Noord,1222,,0,,1129973.0,0,
90794,3285,178415363,ARR:26010:1229,Heer,1229,,1,,1129969.0,0,
90794,3285,178415291,ARR:26010:1130,P+R Noord,1130,,0,,1129972.0,0,
90794,3285,178415278,ARR:26010:1014,P+R Noord,1014,,0,,1129971.0,0,
90791,3285,178415078,ARR:26007:1057,Caberg - Pottenberg,1057,,1,,1129939.0,0,
90791,3285,178415058,ARR:26007:1025,Caberg - Pottenberg,1025,,1,,1129939.0,0,
90794,3285,178415281,ARR:26010:1021,Heer,1021,,1,,1129968.0,0,
90794,3285,178415319,ARR:26010:1030,P+R Noord,1030,,0,,1129971.0,0,
90794,3285,178415320,ARR:26010:1121,Randwyck,1121,,1,,1129966.0,0,
90794,3285,178415332,ARR:26010:1198,P+R Noord,1198,,0,,1129971.0,0,
90794,3285,178415372,ARR:26010:1058,P+R Noord,1058,,0,,1129972.0,0,
90791,3285,178415100,ARR:26007:1021,Caberg - Pottenberg,1021,,1,,1129939.0,0,
90794,3285,178415312,ARR:26010:1113,Randwyck,1113,,1,,1129966.0,0,
90794,3285,178415406,ARR:26010:1153,Randwyck,1153,,1,,1129966.0,0,
90791,3285,178415237,ARR:26007:1089,Caberg - Pottenberg,1089,,1,,1129939.0,0,
90791,3285,178415053,ARR:26007:1050,Randwyck,1050,,0,,1129948.0,0,
90794,3285,178415385,ARR:26010:1074,P+R Noord,1074,,0,,1129972.0,0,
90791,3285,178415189,ARR:26007:1117,Caberg - Pottenberg,1117,,1,,1129939.0,0,
90787,3285,178414829,ARR:26003:1105,P+R Noord,1105,,1,,1129900.0,0,
90787,3285,178414730,ARR:26003:1018,Wolder,1018,,0,,1129899.0,0,
90789,3285,178414964,ARR:26005:1149,Heugem,1149,,1,,1129916.0,0,
90795,3285,178415376,ARR:26011:1001,Maastricht Kon Emmaplein,1001,,1,,1129975.0,0,
90795,3285,178415420,ARR:26011:1073,Maastricht Kon Emmaplein,1073,,1,,1129975.0,0,
90795,3285,178415300,ARR:26011:1013,Maastricht Kon Emmaplein,1013,,1,,1129975.0,0,
90787,3285,178414830,ARR:26003:1106,Wolder,1106,,0,,1129899.0,0,
90787,3285,178414823,ARR:26003:1085,P+R Noord,1085,,1,,1129900.0,0,
